arg1,arg2,verb,sentence,verb_idx,label,lemma,pos,tag,dep,entity,entity_tag,chunk,knowledge,sentiment,sentiment_score
book,,lay, lay the books on the table .,0,0,  lie the book on the table .,SPACE VERB DET NOUN ADP DET NOUN PUNCT,_SP VBD DT NNS IN DT NN ., ROOT det dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('lay', 'VBD', 'O'), ('the', 'DT', 'O'), ('books', 'NNS', 'O'), ('on', 'IN', 'O'), ('the', 'DT', 'O'), ('table', 'NN', 'O'), ('.', '.', 'O')]","[('the books', 'NP', 'books'), ('the table', 'NP', 'table')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
listener,,bolt, The listeners bolted when he discussed his strange ideas .,2,1,  the listener bolt when -PRON- discuss -PRON- strange idea .,SPACE DET NOUN VERB ADV PRON VERB DET ADJ NOUN PUNCT,_SP DT NNS VBD WRB PRP VBD PRP$ JJ NNS ., det nsubj ROOT advmod nsubj advcl poss amod dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('listeners', 'NNS', 'O'), ('bolted', 'VBD', 'O'), ('when', 'WRB', 'O'), ('he', 'PRP', 'O'), ('discussed', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('strange', 'JJ', 'O'), ('ideas', 'NNS', 'O'), ('.', '.', 'O')]","[(' The listeners', 'NP', 'listeners'), ('he', 'NP', 'he'), ('his strange ideas', 'NP', 'ideas')]",none,neutral,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.2023}"
actor,,melt, Hundreds of actors were melting into the scene .,4,1,  hundred of actor be melt into the scene .,SPACE NOUN ADP NOUN AUX VERB ADP DET NOUN PUNCT,_SP NNS IN NNS VBD VBG IN DT NN ., nsubj prep pobj aux ROOT prep det pobj punct,Hundreds,"[(' ', '_SP', 'O'), ('Hundreds', 'NNS', 'B-CARDINAL'), ('of', 'IN', 'O'), ('actors', 'NNS', 'O'), ('were', 'VBD', 'O'), ('melting', 'VBG', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('scene', 'NN', 'O'), ('.', '.', 'O')]","[(' Hundreds', 'NP', 'Hundreds'), ('actors', 'NP', 'actors'), ('the scene', 'NP', 'scene')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
road,,steamroller, steamroller the road .,0,0,  steamroller the road .,SPACE NOUN DET NOUN PUNCT,_SP NN DT NN ., ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('steamroller', 'NN', 'O'), ('the', 'DT', 'O'), ('road', 'NN', 'O'), ('.', '.', 'O')]","[(' steamroller', 'NP', 'steamroller'), ('the road', 'NP', 'road')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
rifle,,lean, He leaned his rifle against the wall .,1,0,  -PRON- lean -PRON- rifle against the wall .,SPACE PRON VERB DET NOUN ADP DET NOUN PUNCT,_SP PRP VBD PRP$ NN IN DT NN ., nsubj ROOT poss dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('leaned', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('rifle', 'NN', 'O'), ('against', 'IN', 'O'), ('the', 'DT', 'O'), ('wall', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('his rifle', 'NP', 'rifle'), ('the wall', 'NP', 'wall')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
infection,,spread, the infection spread .,2,0,  the infection spread .,SPACE DET NOUN VERB PUNCT,_SP DT NN VBD ., det nsubj ROOT punct,,"[(' ', '_SP', 'O'), ('the', 'DT', 'O'), ('infection', 'NN', 'O'), ('spread', 'VBD', 'O'), ('.', '.', 'O')]","[(' the infection', 'NP', 'infection')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
criticism,,level, level criticism or charges at somebody .,0,1,  level criticism or charge at somebody .,SPACE NOUN NOUN CCONJ NOUN ADP PRON PUNCT,_SP NN NN CC NNS IN NN ., compound ROOT cc conj prep pobj punct,,"[(' ', '_SP', 'O'), ('level', 'NN', 'O'), ('criticism', 'NN', 'O'), ('or', 'CC', 'O'), ('charges', 'NNS', 'O'), ('at', 'IN', 'O'), ('somebody', 'NN', 'O'), ('.', '.', 'O')]","[(' level criticism', 'NP', 'criticism'), ('charges', 'NP', 'charges'), ('somebody', 'NP', 'somebody')]",none,negative,"{'neg': 0.556, 'neu': 0.444, 'pos': 0.0, 'compound': -0.6124}"
water,,drain, The rain water drains into this big vat .,3,0,  the rain water drain into this big vat .,SPACE DET NOUN NOUN VERB ADP DET ADJ NOUN PUNCT,_SP DT NN NN VBZ IN DT JJ NN ., det compound nsubj ROOT prep det amod pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('rain', 'NN', 'O'), ('water', 'NN', 'O'), ('drains', 'VBZ', 'O'), ('into', 'IN', 'O'), ('this', 'DT', 'O'), ('big', 'JJ', 'O'), ('vat', 'NN', 'O'), ('.', '.', 'O')]","[(' The rain water', 'NP', 'water'), ('this big vat', 'NP', 'vat')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
building,,gutter, The roofer began to gutter the buildings .,4,0,  the roofer begin to gutter the building .,SPACE DET NOUN VERB PART VERB DET NOUN PUNCT,_SP DT NN VBD TO VB DT NNS ., det nsubj ROOT aux xcomp det dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('roofer', 'NN', 'O'), ('began', 'VBD', 'O'), ('to', 'TO', 'O'), ('gutter', 'VB', 'O'), ('the', 'DT', 'O'), ('buildings', 'NNS', 'O'), ('.', '.', 'O')]","[(' The roofer', 'NP', 'roofer'), ('the buildings', 'NP', 'buildings')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
man,,revive, The doctors revived the comatose man .,2,0,  the doctor revive the comatose man .,SPACE DET NOUN VERB DET ADJ NOUN PUNCT,_SP DT NNS VBD DT JJ NN ., det nsubj ROOT det amod dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('doctors', 'NNS', 'O'), ('revived', 'VBD', 'O'), ('the', 'DT', 'O'), ('comatose', 'JJ', 'O'), ('man', 'NN', 'O'), ('.', '.', 'O')]","[(' The doctors', 'NP', 'doctors'), ('the comatose man', 'NP', 'man')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
crowd,,convulse, The comedian convulsed the crowd .,2,1,  the comedian convulse the crowd .,SPACE DET NOUN VERB DET NOUN PUNCT,_SP DT NN VBD DT NN ., det nsubj ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('comedian', 'NN', 'O'), ('convulsed', 'VBD', 'O'), ('the', 'DT', 'O'), ('crowd', 'NN', 'O'), ('.', '.', 'O')]","[(' The comedian', 'NP', 'comedian'), ('the crowd', 'NP', 'crowd')]",none,neutral,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
man,,nod, The old man was nodding in his chair .,4,0,  the old man be nod in -PRON- chair .,SPACE DET ADJ NOUN AUX VERB ADP DET NOUN PUNCT,_SP DT JJ NN VBD VBG IN PRP$ NN ., det amod nsubj aux ROOT prep poss pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('old', 'JJ', 'O'), ('man', 'NN', 'O'), ('was', 'VBD', 'O'), ('nodding', 'VBG', 'O'), ('in', 'IN', 'O'), ('his', 'PRP$', 'O'), ('chair', 'NN', 'O'), ('.', '.', 'O')]","[(' The old man', 'NP', 'man'), ('his chair', 'NP', 'chair')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
face,,puff, Her faced puffed up from the drugs .,2,0,  -PRON- faced puff up from the drug .,SPACE DET ADJ VERB ADP ADP DET NOUN PUNCT,_SP PRP$ JJ VBD RP IN DT NNS ., nsubj nsubj ROOT prt prep det pobj punct,,"[(' ', '_SP', 'O'), ('Her', 'PRP$', 'O'), ('faced', 'JJ', 'O'), ('puffed', 'VBD', 'O'), ('up', 'RP', 'O'), ('from', 'IN', 'O'), ('the', 'DT', 'O'), ('drugs', 'NNS', 'O'), ('.', '.', 'O')]","[('the drugs', 'NP', 'drugs')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
idea,,recapture, The author recaptures an old idea here .,2,1,  the author recapture an old idea here .,SPACE DET NOUN VERB DET ADJ NOUN ADV PUNCT,_SP DT NN VBZ DT JJ NN RB ., det nsubj ROOT det amod dobj advmod punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('author', 'NN', 'O'), ('recaptures', 'VBZ', 'O'), ('an', 'DT', 'O'), ('old', 'JJ', 'O'), ('idea', 'NN', 'O'), ('here', 'RB', 'O'), ('.', '.', 'O')]","[(' The author', 'NP', 'author'), ('an old idea', 'NP', 'idea')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
inheritance,,ascend, Inheritance may not ascend linearly .,3,1,  Inheritance may not ascend linearly .,SPACE PROPN VERB PART VERB ADV PUNCT,_SP NNP MD RB VB RB ., nsubj aux neg ROOT advmod punct,,"[(' ', '_SP', 'O'), ('Inheritance', 'NNP', 'O'), ('may', 'MD', 'O'), ('not', 'RB', 'O'), ('ascend', 'VB', 'O'), ('linearly', 'RB', 'O'), ('.', '.', 'O')]","[(' Inheritance', 'NP', 'Inheritance')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
cost,,absorb, He absorbed the costs for the accident .,1,1,  -PRON- absorb the cost for the accident .,SPACE PRON VERB DET NOUN ADP DET NOUN PUNCT,_SP PRP VBD DT NNS IN DT NN ., nsubj ROOT det dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('absorbed', 'VBD', 'O'), ('the', 'DT', 'O'), ('costs', 'NNS', 'O'), ('for', 'IN', 'O'), ('the', 'DT', 'O'), ('accident', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('the costs', 'NP', 'costs'), ('the accident', 'NP', 'accident')]",none,neutral,"{'neg': 0.341, 'neu': 0.659, 'pos': 0.0, 'compound': -0.4767}"
wallpaper,,adhere, Will this wallpaper adhere to the wall ?,3,0,  Will this wallpaper adhere to the wall ?,SPACE VERB DET NOUN VERB ADP DET NOUN PUNCT,_SP MD DT NN VB IN DT NN ., aux det nsubj ROOT prep det pobj punct,,"[(' ', '_SP', 'O'), ('Will', 'MD', 'O'), ('this', 'DT', 'O'), ('wallpaper', 'NN', 'O'), ('adhere', 'VB', 'O'), ('to', 'IN', 'O'), ('the', 'DT', 'O'), ('wall', 'NN', 'O'), ('?', '.', 'O')]","[('this wallpaper', 'NP', 'wallpaper'), ('the wall', 'NP', 'wall')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
cup,,engrave, engraved the trophy cupt with the winner 's .,0,0,  engrave the trophy cupt with the winner 's .,SPACE VERB DET NOUN PROPN ADP DET NOUN PART PUNCT,_SP VBD DT NN NNP IN DT NN POS ., ROOT det compound dobj prep det pobj case punct,,"[(' ', '_SP', 'O'), ('engraved', 'VBD', 'O'), ('the', 'DT', 'O'), ('trophy', 'NN', 'O'), ('cupt', 'NNP', 'O'), ('with', 'IN', 'O'), ('the', 'DT', 'O'), ('winner', 'NN', 'O'), (""'s"", 'POS', 'O'), ('.', '.', 'O')]","[('the trophy cupt', 'NP', 'cupt'), ('the winner', 'NP', 'winner')]",none,neutral,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.5859}"
bath,,relax, A hot bath always relaxes me .,4,0,  a hot bath always relax -PRON- .,SPACE DET ADJ NOUN ADV VERB PRON PUNCT,_SP DT JJ NN RB VBZ PRP ., det amod nsubj advmod ROOT dobj punct,,"[(' ', '_SP', 'O'), ('A', 'DT', 'O'), ('hot', 'JJ', 'O'), ('bath', 'NN', 'O'), ('always', 'RB', 'O'), ('relaxes', 'VBZ', 'O'), ('me', 'PRP', 'O'), ('.', '.', 'O')]","[(' A hot bath', 'NP', 'bath'), ('me', 'NP', 'me')]",none,neutral,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}"
snow,,drift, snow drifting several feet high .,1,0,  snow drift several foot high .,SPACE NOUN VERB ADJ NOUN ADJ PUNCT,_SP NN VBG JJ NNS JJ ., nsubj ROOT amod npadvmod advmod punct,,"[(' ', '_SP', 'O'), ('snow', 'NN', 'O'), ('drifting', 'VBG', 'O'), ('several', 'JJ', 'O'), ('feet', 'NNS', 'O'), ('high', 'JJ', 'O'), ('.', '.', 'O')]","[(' snow', 'NP', 'snow')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
boar,,hunt, Goering often hunted wild boars in Poland .,2,0,  Goering often hunt wild boar in Poland .,SPACE PROPN ADV VERB ADJ NOUN ADP PROPN PUNCT,_SP NNP RB VBD JJ NNS IN NNP ., nsubj advmod ROOT amod dobj prep pobj punct,Goering Poland,"[(' ', '_SP', 'O'), ('Goering', 'NNP', 'B-PERSON'), ('often', 'RB', 'O'), ('hunted', 'VBD', 'O'), ('wild', 'JJ', 'O'), ('boars', 'NNS', 'O'), ('in', 'IN', 'O'), ('Poland', 'NNP', 'B-GPE'), ('.', '.', 'O')]","[(' Goering', 'NP', 'Goering'), ('wild boars', 'NP', 'boars'), ('Poland', 'NP', 'Poland')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
car,,fuel," fuel aircraft , ships , and cars .",0,0,"  fuel aircraft , ship , and car .",SPACE NOUN NOUN PUNCT NOUN PUNCT CCONJ NOUN PUNCT,"_SP NN NN , NNS , CC NNS .", compound ROOT punct conj punct cc conj punct,,"[(' ', '_SP', 'O'), ('fuel', 'NN', 'O'), ('aircraft', 'NN', 'O'), (',', ',', 'O'), ('ships', 'NNS', 'O'), (',', ',', 'O'), ('and', 'CC', 'O'), ('cars', 'NNS', 'O'), ('.', '.', 'O')]","[(' fuel aircraft', 'NP', 'aircraft'), ('ships', 'NP', 'ships'), ('cars', 'NP', 'cars')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
freighter,,tug, The tugboat tugged the freighter into the harbor .,2,0,  the tugboat tug the freighter into the harbor .,SPACE DET NOUN VERB DET NOUN ADP DET NOUN PUNCT,_SP DT NN VBD DT NN IN DT NN ., det nsubj ROOT det dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('tugboat', 'NN', 'O'), ('tugged', 'VBD', 'O'), ('the', 'DT', 'O'), ('freighter', 'NN', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('harbor', 'NN', 'O'), ('.', '.', 'O')]","[(' The tugboat', 'NP', 'tugboat'), ('the freighter', 'NP', 'freighter'), ('the harbor', 'NP', 'harbor')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
letter,,scrape, They scraped a letter into the stone .,1,0,  -PRON- scrape a letter into the stone .,SPACE PRON VERB DET NOUN ADP DET NOUN PUNCT,_SP PRP VBD DT NN IN DT NN ., nsubj ROOT det dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('They', 'PRP', 'O'), ('scraped', 'VBD', 'O'), ('a', 'DT', 'O'), ('letter', 'NN', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('stone', 'NN', 'O'), ('.', '.', 'O')]","[(' They', 'NP', 'They'), ('a letter', 'NP', 'letter'), ('the stone', 'NP', 'stone')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
river,,thunder, The river thundered below .,2,1,  the river thunder below .,SPACE DET NOUN VERB ADV PUNCT,_SP DT NN VBD RB ., det nsubj ROOT advmod punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('river', 'NN', 'O'), ('thundered', 'VBD', 'O'), ('below', 'RB', 'O'), ('.', '.', 'O')]","[(' The river', 'NP', 'river')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
trouble,,spell, I 'm afraid this spells trouble !,4,1,  -PRON- ' m afraid this spell trouble !,SPACE PRON VERB X ADJ DET VERB NOUN PUNCT,_SP PRP VBP XX JJ DT VBZ NN ., nsubj case ROOT acomp nsubj ccomp dobj punct,,"[(' ', '_SP', 'O'), ('I', 'PRP', 'O'), (""'"", 'VBP', 'O'), ('m', 'XX', 'O'), ('afraid', 'JJ', 'O'), ('this', 'DT', 'O'), ('spells', 'VBZ', 'O'), ('trouble', 'NN', 'O'), ('!', '.', 'O')]","[(' I', 'NP', 'I'), ('trouble', 'NP', 'trouble')]",none,neutral,"{'neg': 0.428, 'neu': 0.572, 'pos': 0.0, 'compound': -0.4574}"
liter,,drink, The patient must drink several liters each day .,3,0,  the patient must drink several liter each day .,SPACE DET NOUN VERB VERB ADJ NOUN DET NOUN PUNCT,_SP DT NN MD VB JJ NNS DT NN ., det nsubj aux ROOT amod dobj det npadvmod punct,several liters each day,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('patient', 'NN', 'O'), ('must', 'MD', 'O'), ('drink', 'VB', 'O'), ('several', 'JJ', 'B-QUANTITY'), ('liters', 'NNS', 'I-QUANTITY'), ('each', 'DT', 'B-DATE'), ('day', 'NN', 'I-DATE'), ('.', '.', 'O')]","[(' The patient', 'NP', 'patient'), ('several liters', 'NP', 'liters')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
moon,,peep, The new moon peeped through the tree tops .,3,1,  the new moon peep through the tree top .,SPACE DET ADJ NOUN VERB ADP DET NOUN VERB PUNCT,_SP DT JJ NN VBD IN DT NN VBZ ., det amod nsubj ROOT prep det compound pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('new', 'JJ', 'O'), ('moon', 'NN', 'O'), ('peeped', 'VBD', 'O'), ('through', 'IN', 'O'), ('the', 'DT', 'O'), ('tree', 'NN', 'O'), ('tops', 'VBZ', 'O'), ('.', '.', 'O')]","[(' The new moon', 'NP', 'moon')]",none,neutral,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}"
field,,salt, the rebels had salted the fields with mines and traps .,3,1,  the rebel have salt the field with mine and trap .,SPACE DET NOUN AUX VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT,_SP DT NNS VBD VBN DT NNS IN NNS CC NNS ., det nsubj aux ROOT det dobj prep pobj cc conj punct,,"[(' ', '_SP', 'O'), ('the', 'DT', 'O'), ('rebels', 'NNS', 'O'), ('had', 'VBD', 'O'), ('salted', 'VBN', 'O'), ('the', 'DT', 'O'), ('fields', 'NNS', 'O'), ('with', 'IN', 'O'), ('mines', 'NNS', 'O'), ('and', 'CC', 'O'), ('traps', 'NNS', 'O'), ('.', '.', 'O')]","[(' the rebels', 'NP', 'rebels'), ('the fields', 'NP', 'fields'), ('mines', 'NP', 'mines'), ('traps', 'NP', 'traps')]",none,neutral,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.2023}"
skin,,prick, The needle pricked his skin .,2,0,  the needle prick -PRON- skin .,SPACE DET NOUN VERB DET NOUN PUNCT,_SP DT NN VBD PRP$ NN ., det nsubj ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('needle', 'NN', 'O'), ('pricked', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('skin', 'NN', 'O'), ('.', '.', 'O')]","[(' The needle', 'NP', 'needle'), ('his skin', 'NP', 'skin')]",none,neutral,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.1531}"
society,,infect, society was infected by racism .,2,1,  society be infect by racism .,SPACE NOUN AUX VERB ADP NOUN PUNCT,_SP NN VBD VBN IN NN ., nsubjpass auxpass ROOT agent pobj punct,,"[(' ', '_SP', 'O'), ('society', 'NN', 'O'), ('was', 'VBD', 'O'), ('infected', 'VBN', 'O'), ('by', 'IN', 'O'), ('racism', 'NN', 'O'), ('.', '.', 'O')]","[(' society', 'NP', 'society'), ('racism', 'NP', 'racism')]",none,negative,"{'neg': 0.709, 'neu': 0.291, 'pos': 0.0, 'compound': -0.8074}"
mountain,,splash, The mountain was splashed with snow .,3,1,  the mountain be splash with snow .,SPACE DET NOUN AUX VERB ADP NOUN PUNCT,_SP DT NN VBD VBN IN NN ., det nsubjpass auxpass ROOT prep pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('mountain', 'NN', 'O'), ('was', 'VBD', 'O'), ('splashed', 'VBN', 'O'), ('with', 'IN', 'O'), ('snow', 'NN', 'O'), ('.', '.', 'O')]","[(' The mountain', 'NP', 'mountain'), ('snow', 'NP', 'snow')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
mind,,poison, poison someone 's mind .,0,1,  poison someone 's mind .,SPACE NOUN PRON PART NOUN PUNCT,_SP NN NN POS NN ., ROOT poss case dobj punct,,"[(' ', '_SP', 'O'), ('poison', 'NN', 'O'), ('someone', 'NN', 'O'), (""'s"", 'POS', 'O'), ('mind', 'NN', 'O'), ('.', '.', 'O')]","[(' poison', 'NP', 'poison'), (""someone 's mind"", 'NP', 'mind')]",none,negative,"{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}"
eyesight,,inherit, I inherited my good eyesight from my mother .,1,0,  -PRON- inherit -PRON- good eyesight from -PRON- mother .,SPACE PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT,_SP PRP VBD PRP$ JJ NN IN PRP$ NN ., nsubj ROOT poss amod dobj prep poss pobj punct,,"[(' ', '_SP', 'O'), ('I', 'PRP', 'O'), ('inherited', 'VBD', 'O'), ('my', 'PRP$', 'O'), ('good', 'JJ', 'O'), ('eyesight', 'NN', 'O'), ('from', 'IN', 'O'), ('my', 'PRP$', 'O'), ('mother', 'NN', 'O'), ('.', '.', 'O')]","[(' I', 'NP', 'I'), ('my good eyesight', 'NP', 'eyesight'), ('my mother', 'NP', 'mother')]",none,neutral,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}"
people,,erase, The Turks erased the Armenians in 1915 .,2,1,  the Turks erase the Armenians in 1915 .,SPACE DET PROPN VERB DET PROPN ADP NUM PUNCT,_SP DT NNPS VBD DT NNPS IN CD ., det nsubj ROOT det dobj prep pobj punct,Turks Armenians 1915,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('Turks', 'NNPS', 'B-NORP'), ('erased', 'VBD', 'O'), ('the', 'DT', 'O'), ('Armenians', 'NNPS', 'B-NORP'), ('in', 'IN', 'O'), ('1915', 'CD', 'B-DATE'), ('.', '.', 'O')]","[(' The Turks', 'NP', 'Turks'), ('the Armenians', 'NP', 'Armenians')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
police,,raid, The police raided the crack house .,2,0,  the police raid the crack house .,SPACE DET NOUN VERB DET NOUN NOUN PUNCT,_SP DT NN VBD DT NN NN ., det nsubj ROOT det compound dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('police', 'NN', 'O'), ('raided', 'VBD', 'O'), ('the', 'DT', 'O'), ('crack', 'NN', 'O'), ('house', 'NN', 'O'), ('.', '.', 'O')]","[(' The police', 'NP', 'police'), ('the crack house', 'NP', 'house')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
school,,build, The government is building new schools in this state .,3,0,  the government be build new school in this state .,SPACE DET NOUN AUX VERB ADJ NOUN ADP DET NOUN PUNCT,_SP DT NN VBZ VBG JJ NNS IN DT NN ., det nsubj aux ROOT amod dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('government', 'NN', 'O'), ('is', 'VBZ', 'O'), ('building', 'VBG', 'O'), ('new', 'JJ', 'O'), ('schools', 'NNS', 'O'), ('in', 'IN', 'O'), ('this', 'DT', 'O'), ('state', 'NN', 'O'), ('.', '.', 'O')]","[(' The government', 'NP', 'government'), ('new schools', 'NP', 'schools'), ('this state', 'NP', 'state')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bullet,,whistle, The bullets whistled past him .,2,1,  the bullet whistle past -PRON- .,SPACE DET NOUN VERB ADP PRON PUNCT,_SP DT NNS VBD IN PRP ., det nsubj ROOT prep pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('bullets', 'NNS', 'O'), ('whistled', 'VBD', 'O'), ('past', 'IN', 'O'), ('him', 'PRP', 'O'), ('.', '.', 'O')]","[(' The bullets', 'NP', 'bullets'), ('him', 'NP', 'him')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
story,,swallow, Am I supposed to swallow that story ?,4,1,  be -PRON- suppose to swallow that story ?,SPACE AUX PRON VERB PART VERB DET NOUN PUNCT,_SP VBP PRP VBN TO VB DT NN ., auxpass nsubj ROOT aux xcomp det dobj punct,,"[(' ', '_SP', 'O'), ('Am', 'VBP', 'O'), ('I', 'PRP', 'O'), ('supposed', 'VBN', 'O'), ('to', 'TO', 'O'), ('swallow', 'VB', 'O'), ('that', 'DT', 'O'), ('story', 'NN', 'O'), ('?', '.', 'O')]","[('I', 'NP', 'I'), ('that story', 'NP', 'story')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
judgement,,color, My personal feelings color my judgment in this case .,3,1,  -PRON- personal feeling color -PRON- judgment in this case .,SPACE DET ADJ NOUN VERB DET NOUN ADP DET NOUN PUNCT,_SP PRP$ JJ NNS VBP PRP$ NN IN DT NN ., poss amod nsubj ROOT poss dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('My', 'PRP$', 'O'), ('personal', 'JJ', 'O'), ('feelings', 'NNS', 'O'), ('color', 'VBP', 'O'), ('my', 'PRP$', 'O'), ('judgment', 'NN', 'O'), ('in', 'IN', 'O'), ('this', 'DT', 'O'), ('case', 'NN', 'O'), ('.', '.', 'O')]","[(' My personal feelings', 'NP', 'feelings'), ('my judgment', 'NP', 'judgment'), ('this case', 'NP', 'case')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bottle,,explode, The champagne bottle exploded .,3,0,  the champagne bottle explode .,SPACE DET NOUN NOUN VERB PUNCT,_SP DT NN NN VBD ., det compound nsubj ROOT punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('champagne', 'NN', 'O'), ('bottle', 'NN', 'O'), ('exploded', 'VBD', 'O'), ('.', '.', 'O')]","[(' The champagne bottle', 'NP', 'bottle')]",none,neutral,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}"
